OCID,CONTRACT_TITLE,CONTRACT_TYPE,PROCUREMENT_METHOD,BUYER_NAME,SUPPLIER_NAMES,CONTRACT_START_DATE,CONTRACT_END_DATE,CONTRACT_AMOUNT,CONTRACT_CURRENCY
92,Tercero 6 (226577),Concesión,Concesión minera,Secretaría de Economía,Desarrollos Mineros Parreña S.A de C.V.,2018,2024,90.5106,Hectáreas
93,El Premio (225546),Concesión,Concesión minera,Secretaría de Economía,Buenavista del Cobre S.A. de C.V.,2018,2024,36.5356,Hectáreas
94,El Premio 2 Fracc. II (225591),Concesión,Concesión minera,Secretaría de Economía,Buenavista del Cobre S.A. de C.V.,2018,2024,1.5898,Hectáreas
95,La Viri (225173),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,178.8106,Hectáreas
96,Santa Teresa (224333),Concesión,Concesión minera,Secretaría de Economía,Minera Hochschild Mexico S.A. de C.V.,2018,2024,7.6016,Hectáreas
97,Zircon 27 (222881),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,84.471,Hectáreas
98,Zircon 28 (222882),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,15.7687,Hectáreas
99,Elena 5 (221460),Concesión,Concesión minera,Secretaría de Economía,Nusantara de Mexico S.A. de C.V.,2018,2024,399.8659,Hectáreas
100,Las Aguilas (221208),Concesión,Concesión minera,Secretaría de Economía,Desarrollos Mineros Parreña S.A de C.V.,2018,2024,4711.4218,Hectáreas
101,Maria 29 (219347),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,200,Hectáreas
102,Lolita (219016),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,30,Hectáreas
103,Maria 26 (219213),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,139.0974,Hectáreas
104,Zircon 24 (218381),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,150.5361,Hectáreas
105,El Jaralito Fracc.  I (218444),Concesión,Concesión minera,Secretaría de Economía,Flobarco,2018,2024,3443.9369,Hectáreas
106,El Jaralito Fracc.  III (218446),Concesión,Concesión minera,Secretaría de Economía,Compañía Minera La Parreña,2018,2024,6.9932,Hectáreas
107,Troya No. 2 (217656),Concesión,Concesión minera,Secretaría de Economía,Buenavista del Cobre S.A. de C.V.,2018,2024,350,Hectáreas
108,Mercurio (216887),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,10017.5849,Hectáreas
109,Zircon 19 (216966),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,72.3634,Hectáreas
110,Zircon 20 (216979),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,512.9449,Hectáreas
111,Maria 22 (215561),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,0.4185,Hectáreas
112,Zircon 9 (215562),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,1.1722,Hectáreas
113,Cuitaca XV (214585),Concesión,Concesión minera,Secretaría de Economía,Desarrollos Mineros Parreña S.A de C.V.,2018,2024,6425.3985,Hectáreas
114,Maria 23 (214637),Concesión,Concesión minera,Secretaría de Economía,Compañía Internacional Minera,2018,2024,29.944,Hectáreas
115,El Salto (214442),Concesión,Concesión minera,Secretaría de Economía,Buenavista del Cobre S.A. de C.V.,2018,2024,483.3333,Hectáreas
116,Troya No. 4 (212913),Concesión,Concesión minera,Secretaría de Economía,Buenavista del Cobre S.A. de C.V.,2018,2024,28,Hectáreas
117,Santa Elena No. 3 Fraccion Sw (180494),Concesión,Concesión minera,Secretaría de Economía,Nusantara de Mexico S.A. de C.V.,2018,2024,0.6416,Hectáreas
118,Fracc. 7 Agua Blanca I (202598),Concesión,Concesión minera,Secretaría de Economía,First Silver Reserve,2018,2024,459,Hectáreas
119,Fracc. 8 Agua Blanca I (202879),Concesión,Concesión minera,Secretaría de Economía,First Silver Reserve,2018,2024,495,Hectáreas
120,Santa Elena (192174),Concesión,Concesión minera,Secretaría de Economía,Nusantara de Mexico S.A. de C.V.,2018,2024,24.1864,Hectáreas
